 case_id,province,city,group,infection_case,case,latitude,longitude,source,iso_a3
1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,kaggle,KOR
1000002,Seoul,Gwanak-gu,True,Richway,119,37.48208,126.901384,kaggle,KOR
1000003,Seoul,Guro-gu,True,Guro-gu Call Center,95,37.508163,126.884387,kaggle,KOR
1000004,Seoul,Yangcheon-gu,True,Yangcheon Table Tennis Club,43,37.546061,126.874209,kaggle,KOR
1000005,Seoul,Dobong-gu,True,Day Care Center,43,37.679422,127.044374,kaggle,KOR
1000006,Seoul,Guro-gu,True,Manmin Central Church,41,37.481059,126.894343,kaggle,KOR
1000007,Seoul,from other city,True,SMR Newly Planted Churches Group,36,-,-,kaggle,KOR
1000008,Seoul,Dongdaemun-gu,True,Dongan Church,17,37.592888,127.056766,kaggle,KOR
1000009,Seoul,from other city,True,Coupang Logistics Center,25,-,-,kaggle,KOR
1000010,Seoul,Gwanak-gu,True,Wangsung Church,30,37.481735,126.930121,kaggle,KOR
1000011,Seoul,Eunpyeong-gu,True,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165,kaggle,KOR
1000012,Seoul,Seongdong-gu,True,Seongdong-gu APT,13,37.55713,127.0403,kaggle,KOR
1000013,Seoul,Jongno-gu,True,Jongno Community Center,10,37.57681,127.006,kaggle,KOR
1000014,Seoul,Gangnam-gu,True,Samsung Medical Center,7,37.48825,127.08559,kaggle,KOR
1000015,Seoul,Jung-gu,True,Jung-gu Fashion Company,7,37.562405,126.984377,kaggle,KOR
1000016,Seoul,Seodaemun-gu,True,Yeonana News Class,5,37.558147,126.943799,kaggle,KOR
1000017,Seoul,Jongno-gu,True,Korea Campus Crusade of Christ,7,37.594782,126.968022,kaggle,KOR
1000018,Seoul,Gangnam-gu,True,Gangnam Yeoksam-dong gathering,6,-,-,kaggle,KOR
1000019,Seoul,from other city,True,Daejeon door-to-door sales,1,-,-,kaggle,KOR
1000020,Seoul,Geumcheon-gu,True,Geumcheon-gu rice milling machine manufacture,6,-,-,kaggle,KOR
1000021,Seoul,from other city,True,Shincheonji Church,8,-,-,kaggle,KOR
1000022,Seoul,from other city,True,Guri Collective Infection,5,-,-,kaggle,KOR
1000023,Seoul,Jung-gu,True,KB Life Insurance,13,37.560899,126.966998,kaggle,KOR
1000024,Seoul,Yeongdeungpo-gu,True,Yeongdeungpo Learning Institute,3,37.520846,126.931278,kaggle,KOR
1000025,Seoul,Gangnam-gu,True,Gangnam Dongin Church,1,37.522331,127.057388,kaggle,KOR
1000026,Seoul,Yangcheon-gu,True,Biblical Language study meeting,3,37.524623,126.843118,kaggle,KOR
1000027,Seoul,Seocho-gu,True,Seocho Family,5,-,-,kaggle,KOR
1000028,Seoul,from other city,True,Anyang Gunpo Pastors Group,1,-,-,kaggle,KOR
1000029,Seoul,Gangnam-gu,True,Samsung Fire & Marine Insurance,4,37.498279,127.030139,kaggle,KOR
1000030,Seoul,Gangseo-gu,True,SJ Investment Call Center,0,37.559649,126.835102,kaggle,KOR
1000031,Seoul,from other city,True,Yongin Brothers,4,-,-,kaggle,KOR
1000032,Seoul,Jung-gu,True,Seoul City Hall Station safety worker,3,37.565699,126.977079,kaggle,KOR
1000033,Seoul,from other city,True,Uiwang Logistics Center,2,-,-,kaggle,KOR
1000034,Seoul,-,True,Orange Life,1,-,-,kaggle,KOR
1000035,Seoul,Guro-gu,True,Daezayeon Korea,3,37.486837,126.893163,kaggle,KOR
1000036,Seoul,-,False,overseas inflow,298,-,-,kaggle,KOR
1000037,Seoul,-,False,contact with patient,162,-,-,kaggle,KOR
1000038,Seoul,-,False,etc,100,-,-,kaggle,KOR
1100001,Busan,Dongnae-gu,True,Onchun Church,39,35.21628,129.0771,kaggle,KOR
1100002,Busan,from other city,True,Shincheonji Church,12,-,-,kaggle,KOR
1100003,Busan,Suyeong-gu,True,Suyeong-gu Kindergarten,5,35.16708,129.1124,kaggle,KOR
1100004,Busan,Haeundae-gu,True,Haeundae-gu Catholic Church,6,35.20599,129.1256,kaggle,KOR
1100005,Busan,Jin-gu,True,Jin-gu Academy,4,35.17371,129.0633,kaggle,KOR
1100006,Busan,from other city,True,Itaewon Clubs,4,-,-,kaggle,KOR
1100007,Busan,from other city,True,Cheongdo Daenam Hospital,1,-,-,kaggle,KOR
1100008,Busan,-,False,overseas inflow,36,-,-,kaggle,KOR
1100009,Busan,-,False,contact with patient,19,-,-,kaggle,KOR
1100010,Busan,-,False,etc,30,-,-,kaggle,KOR
1200001,Daegu,Nam-gu,True,Shincheonji Church,4511,35.84008,128.5667,kaggle,KOR
1200002,Daegu,Dalseong-gun,True,Second Mi-Ju Hospital,196,35.857375,128.466651,kaggle,KOR
